StateCode,Age,Year,Weight,Age18,LowIncome,InCollege,After,Georgia,AfterGeorgia,Black
56,19,89,1396,0,1,1,0,0,0,0
56,19,89,1080,0,,1,0,0,0,1
56,18,89,924,1,1,1,0,0,0,0
56,19,89,891,0,0,1,0,0,0,0
56,19,89,1395,0,,0,0,0,0,0
56,18,89,1106,1,1,1,0,0,0,1
56,19,89,965,0,,0,0,0,0,0
56,18,89,958,1,,0,0,0,0,0
56,19,89,1006,0,,0,0,0,0,0
56,19,89,1183,0,1,1,0,0,0,0
56,18,89,1209,1,0,1,0,0,0,0
56,18,89,1069,1,1,0,0,0,0,0
56,18,89,835,1,1,0,0,0,0,0
56,18,89,1196,1,,0,0,0,0,0
56,19,89,1380,0,1,1,0,0,0,1
56,19,89,1244,0,1,1,0,0,0,1
56,18,89,857,1,1,0,0,0,0,0
56,18,89,1105,1,1,1,0,0,0,0
56,18,89,1104,1,1,0,0,0,0,0
56,19,89,1268,0,1,0,0,0,0,0
56,19,89,1008,0,1,1,0,0,0,0
56,18,89,970,1,,0,0,0,0,0
56,19,89,1004,0,1,1,0,0,0,0
56,19,89,1009,0,1,0,0,0,0,1
56,18,89,1262,1,1,1,0,0,0,0
56,19,89,1091,0,1,0,0,0,0,0
56,19,89,1006,0,1,0,0,0,0,0
56,18,89,898,1,0,1,0,0,0,0
56,18,89,1195,1,,1,0,0,0,0
56,18,89,997,1,,1,0,0,0,1
56,19,89,1131,0,1,1,0,0,0,1
56,19,89,1037,0,1,1,0,0,0,0
56,19,89,1117,0,,0,0,0,0,0
56,18,89,1044,1,1,0,0,0,0,0
56,19,89,935,0,,0,0,0,0,0
56,19,89,1299,0,1,0,0,0,0,1
56,18,89,1877,1,1,0,0,0,0,0
56,19,89,1159,0,1,1,0,0,0,0
56,18,89,992,1,0,0,0,0,0,1
56,19,89,960,0,1,1,0,0,0,1
56,18,89,1000,1,0,0,0,0,0,1
56,19,89,1144,0,0,1,0,0,0,0
56,18,89,1062,1,0,1,0,0,0,0
56,19,89,1161,0,1,0,0,0,0,0
56,18,89,1061,1,1,0,0,0,0,0
56,19,89,1101,0,1,1,0,0,0,0
56,19,89,1176,0,0,1,0,0,0,0
56,18,89,1251,1,1,1,0,0,0,0
56,19,89,1395,0,,0,0,0,0,0
56,18,89,995,1,1,0,0,0,0,1
56,18,89,1115,1,1,0,0,0,0,1
56,18,89,1150,1,0,1,0,0,0,0
56,18,89,1495,1,1,1,0,0,0,0
56,19,89,1026,0,,0,0,0,0,0
56,19,89,1003,0,,0,0,0,0,0
56,18,89,802,1,1,0,0,0,0,0
56,18,89,890,1,1,0,0,0,0,1
56,18,89,1249,1,1,1,0,0,0,1
56,18,89,928,1,1,0,0,0,0,0
56,18,89,1148,1,1,0,0,0,0,0
56,18,89,917,1,1,1,0,0,0,0
56,18,89,904,1,1,0,0,0,0,0
56,18,89,952,1,1,0,0,0,0,0
56,19,89,935,0,1,1,0,0,0,0
56,18,89,1151,1,1,0,0,0,0,0
56,19,89,1038,0,1,0,0,0,0,1
56,18,89,925,1,1,1,0,0,0,0
56,19,89,1148,0,,0,0,0,0,0
56,19,89,1396,0,1,1,0,0,0,0
56,18,89,924,1,1,0,0,0,0,1
56,18,89,1198,1,,0,0,0,0,0
56,19,89,1112,0,,1,0,0,0,0
56,18,89,938,1,1,1,0,0,0,0
56,18,89,936,1,,0,0,0,0,0
56,19,89,1774,0,1,1,0,0,0,1
56,18,89,1142,1,1,0,0,0,0,1
56,18,89,1202,1,1,0,0,0,0,0
56,19,89,935,0,,0,0,0,0,0
56,19,89,1115,0,1,1,0,0,0,1
56,19,89,913,0,1,1,0,0,0,0
56,19,89,1214,0,1,1,0,0,0,0
56,19,89,1019,0,1,1,0,0,0,1
56,19,89,1164,0,,1,0,0,0,0
56,18,89,925,1,,0,0,0,0,0
56,18,89,1486,1,1,1,0,0,0,0
56,18,89,1084,1,1,1,0,0,0,0
56,19,89,1156,0,1,1,0,0,0,0
56,19,89,1008,0,1,1,0,0,0,0
56,19,89,1143,0,1,1,0,0,0,0
56,18,89,1090,1,1,0,0,0,0,1
56,18,89,1043,1,0,0,0,0,0,0
56,19,89,996,0,,1,0,0,0,0
56,18,89,1050,1,1,0,0,0,0,0
56,18,89,1105,1,0,1,0,0,0,0
56,18,89,1893,1,1,0,0,0,0,1
56,18,89,1115,1,1,0,0,0,0,1
56,19,89,1351,0,0,1,0,0,0,0
56,18,89,919,1,1,0,0,0,0,0
56,19,89,1087,0,1,1,0,0,0,0
56,18,89,1013,1,1,0,0,0,0,0
56,18,89,1051,1,1,1,0,0,0,0
56,19,89,1039,0,,1,0,0,0,0
56,18,89,1196,1,,0,0,0,0,0
56,19,89,1132,0,1,1,0,0,0,0
56,19,89,1348,0,,0,0,0,0,0
56,19,89,1265,0,,0,0,0,0,0
56,19,89,1204,0,0,1,0,0,0,1
56,18,89,1059,1,1,0,0,0,0,1
56,19,89,1265,0,1,1,0,0,0,0
56,18,89,1029,1,1,0,0,0,0,1
56,19,89,1220,0,1,0,0,0,0,0
56,19,89,1082,0,0,1,0,0,0,0
56,18,89,1019,1,,1,0,0,0,0
56,18,89,1211,1,0,1,0,0,0,0
56,19,89,1268,0,,0,0,0,0,0
56,18,89,891,1,,0,0,0,0,1
56,18,89,1080,1,,0,0,0,0,0
56,19,89,1214,0,0,1,0,0,0,0
56,18,89,,1,1,0,0,0,0,0
56,19,89,1157,0,1,0,0,0,0,0
56,19,89,912,0,1,1,0,0,0,0
56,18,89,916,1,1,0,0,0,0,0
56,19,89,1182,0,,0,0,0,0,1
56,19,89,978,0,0,1,0,0,0,0
56,19,89,1082,0,1,0,0,0,0,0
56,19,89,1157,0,,1,0,0,0,0
56,18,89,943,1,1,0,0,0,0,1
56,18,89,961,1,1,0,0,0,0,1
56,18,89,860,1,1,1,0,0,0,0
56,18,89,924,1,,0,0,0,0,0
56,18,89,924,1,0,0,0,0,0,0
56,19,89,1196,0,1,0,0,0,0,0
56,19,89,942,0,,1,0,0,0,1
56,18,89,911,1,1,1,0,0,0,1
56,19,89,1392,0,0,1,0,0,0,0
56,18,89,1143,1,,0,0,0,0,0
56,18,89,1103,1,,0,0,0,0,0
56,18,89,1164,1,1,0,0,0,0,1
56,18,89,1296,1,1,1,0,0,0,1
56,18,89,1453,1,,1,0,0,0,0
56,18,89,902,1,,0,0,0,0,0
56,18,89,1074,1,1,0,0,0,0,1
56,19,89,1089,0,0,1,0,0,0,0
56,19,89,999,0,1,1,0,0,0,0
56,19,89,996,0,0,0,0,0,0,0
56,19,89,1206,0,,0,0,0,0,0
56,19,89,1135,0,,0,0,0,0,0
56,18,89,1080,1,0,1,0,0,0,0
56,18,89,847,1,1,0,0,0,0,0
56,19,89,1004,0,,0,0,0,0,0
56,19,89,959,0,,0,0,0,0,0
56,18,89,946,1,0,0,0,0,0,0
56,19,89,1241,0,1,0,0,0,0,0
56,19,89,1036,0,1,1,0,0,0,0
56,19,89,923,0,1,0,0,0,0,0
56,18,89,1196,1,0,1,0,0,0,0
56,18,89,1480,1,1,0,0,0,0,0
56,19,89,1028,0,1,0,0,0,0,1
56,19,89,997,0,0,1,0,0,0,0
56,19,89,1163,0,1,0,0,0,0,0
56,18,89,894,1,0,1,0,0,0,0
56,18,89,1073,1,,0,0,0,0,0
56,19,89,1520,0,,0,0,0,0,0
56,19,89,925,0,0,1,0,0,0,0
56,18,89,1088,1,0,1,0,0,0,0
56,19,89,1026,0,1,1,0,0,0,0
56,18,89,856,1,1,0,0,0,0,1
56,18,89,1195,1,,0,0,0,0,0
56,18,89,1063,1,0,1,0,0,0,0
56,18,89,924,1,1,0,0,0,0,0
56,18,89,1084,1,1,1,0,0,0,0
56,18,89,1044,1,1,0,0,0,0,0
56,18,89,1024,1,0,1,0,0,0,0
56,19,89,960,0,,0,0,0,0,1
56,18,89,1021,1,,1,0,0,0,0
56,18,89,1309,1,1,1,0,0,0,0
56,18,89,791,1,1,0,0,0,0,0
56,19,89,1081,0,0,1,0,0,0,0
56,19,89,1161,0,1,0,0,0,0,0
56,18,89,968,1,,0,0,0,0,0
56,18,89,906,1,1,0,0,0,0,0
56,18,89,913,1,,0,0,0,0,0
56,19,89,909,0,,1,0,0,0,0
56,18,89,965,1,1,1,0,0,0,0
56,18,89,1257,1,,0,0,0,0,0
56,18,89,1096,1,0,1,0,0,0,0
56,18,89,1224,1,,0,0,0,0,0
56,19,89,1227,0,1,0,0,0,0,1
56,18,89,1032,1,1,0,0,0,0,1
56,19,89,1201,0,1,1,0,0,0,0
56,18,89,1227,1,1,1,0,0,0,1
56,19,89,1038,0,0,1,0,0,0,1
56,18,89,1092,1,1,0,0,0,0,0
56,18,89,1207,1,1,1,0,0,0,1
56,19,89,1131,0,,0,0,0,0,1
56,19,89,1243,0,1,1,0,0,0,0
56,18,90,852,1,1,1,0,0,0,0
56,18,90,1057,1,0,1,0,0,0,0
56,18,90,1016,1,,0,0,0,0,0
56,19,90,1209,0,0,1,0,0,0,0
56,18,90,1037,1,,0,0,0,0,0
56,18,90,849,1,1,1,0,0,0,0
56,19,90,1016,0,,0,0,0,0,0
56,18,90,1139,1,1,1,0,0,0,0
56,18,90,1029,1,1,1,0,0,0,0
56,18,90,1647,1,1,0,0,0,0,1
56,19,90,1362,0,0,0,0,0,0,0
56,19,90,848,0,,0,0,0,0,1
56,18,90,863,1,1,1,0,0,0,0
56,18,90,1082,1,0,1,0,0,0,0
56,19,90,1198,0,1,1,0,0,0,0
56,18,90,1164,1,,0,0,0,0,1
56,19,90,1141,0,,1,0,0,0,0
56,19,90,918,0,1,0,0,0,0,1
56,18,90,1172,1,,0,0,0,0,0
56,19,90,1144,0,,0,0,0,0,0
56,19,90,948,0,0,1,0,0,0,0
56,19,90,1180,0,1,1,0,0,0,0
56,19,90,1006,0,,0,0,0,0,0
56,18,90,1123,1,1,0,0,0,0,1
56,18,90,1360,1,1,1,0,0,0,1
56,19,90,1018,0,1,0,0,0,0,0
56,18,90,1035,1,,0,0,0,0,0
56,19,90,769,0,,1,0,0,0,0
56,18,90,1172,1,,0,0,0,0,0
56,18,90,1919,1,0,1,0,0,0,1
56,19,90,2013,0,1,0,0,0,0,0
56,19,90,1074,0,1,0,0,0,0,1
56,19,90,1164,0,,0,0,0,0,0
56,19,90,1043,0,1,1,0,0,0,0
56,18,90,1088,1,,1,0,0,0,0
56,19,90,1436,0,,0,0,0,0,0
56,18,90,969,1,,0,0,0,0,0
56,18,90,1186,1,1,0,0,0,0,1
56,19,90,967,0,1,0,0,0,0,0
56,18,90,919,1,,1,0,0,0,0
56,19,90,1180,0,,1,0,0,0,1
56,19,90,912,0,1,1,0,0,0,1
56,19,90,1030,0,1,1,0,0,0,0
56,19,90,1026,0,,1,0,0,0,0
56,18,90,878,1,0,1,0,0,0,0
56,18,90,862,1,1,1,0,0,0,1
56,18,90,1539,1,0,1,0,0,0,1
56,18,90,1120,1,1,0,0,0,0,1
56,18,90,864,1,1,0,0,0,0,0
56,18,90,1109,1,1,0,0,0,0,1
56,18,90,1208,1,,0,0,0,0,1
56,19,90,1223,0,1,1,0,0,0,1
56,18,90,1088,1,,1,0,0,0,0
56,19,90,1188,0,1,1,0,0,0,0
56,18,90,1141,1,0,1,0,0,0,0
56,19,90,1181,0,,0,0,0,0,0
56,18,90,1139,1,,0,0,0,0,0
56,19,90,1369,0,1,0,0,0,0,0
56,19,90,1030,0,1,0,0,0,0,0
56,18,90,1141,1,1,0,0,0,0,1
56,18,90,1050,1,1,0,0,0,0,0
56,18,90,945,1,1,1,0,0,0,1
56,18,90,1032,1,0,0,0,0,0,0
56,18,90,1047,1,,0,0,0,0,0
56,18,90,984,1,0,1,0,0,0,0
56,18,90,1058,1,1,1,0,0,0,0
56,18,90,1172,1,,0,0,0,0,0
56,18,90,972,1,1,1,0,0,0,0
56,18,90,1042,1,0,0,0,0,0,0
56,19,90,1160,0,1,1,0,0,0,1
56,19,90,1178,0,1,0,0,0,0,0
56,18,90,1155,1,1,0,0,0,0,0
56,19,90,924,0,,0,0,0,0,1
56,18,90,966,1,1,1,0,0,0,0
56,19,90,1083,0,,0,0,0,0,1
56,19,90,1162,0,1,0,0,0,0,0
56,19,90,1048,0,,1,0,0,0,0
56,18,90,1204,1,1,0,0,0,0,1
56,19,90,964,0,,0,0,0,0,0
56,18,90,1487,1,0,1,0,0,0,0
56,19,90,1105,0,1,0,0,0,0,0
56,19,90,1615,0,,0,0,0,0,1
56,18,90,1029,1,1,1,0,0,0,0
56,19,90,925,0,,0,0,0,0,1
56,19,90,1434,0,,1,0,0,0,0
56,18,90,1063,1,1,1,0,0,0,0
56,19,90,1121,0,1,1,0,0,0,0
56,19,90,1032,0,1,1,0,0,0,0
56,18,90,1546,1,1,0,0,0,0,1
56,19,90,799,0,1,0,0,0,0,1
56,19,90,1162,0,0,1,0,0,0,0
56,19,90,1234,0,1,0,0,0,0,1
56,18,90,951,1,0,1,0,0,0,0
56,19,90,960,0,1,0,0,0,0,0
56,19,90,1180,0,,1,0,0,0,1
56,19,90,1204,0,,1,0,0,0,0
56,19,90,868,0,1,0,0,0,0,0
56,19,90,1411,0,,0,0,0,0,0
56,19,90,944,0,,0,0,0,0,1
56,18,90,908,1,1,1,0,0,0,1
56,18,90,1138,1,1,0,0,0,0,1
56,18,90,1040,1,,0,0,0,0,0
56,18,90,951,1,1,1,0,0,0,0
56,18,90,1045,1,0,1,0,0,0,0
56,18,90,1002,1,1,1,0,0,0,0
56,18,90,1054,1,0,1,0,0,0,0
56,18,90,1290,1,1,0,0,0,0,0
56,19,90,1167,0,1,0,0,0,0,0
56,19,90,1018,0,1,1,0,0,0,0
56,19,90,1615,0,1,1,0,0,0,1
56,18,90,868,1,1,1,0,0,0,0
56,18,90,1145,1,,0,0,0,0,0
56,19,90,1142,0,1,1,0,0,0,1
56,18,90,1029,1,1,0,0,0,0,0
56,18,90,874,1,,0,0,0,0,0
56,19,90,1072,0,,1,0,0,0,0
56,19,90,1190,0,1,1,0,0,0,0
56,19,90,1146,0,0,1,0,0,0,0
56,18,90,1006,1,1,1,0,0,0,0
56,19,90,1050,0,0,1,0,0,0,0
56,19,90,903,0,0,1,0,0,0,0
56,19,90,1183,0,1,1,0,0,0,0
56,19,90,1254,0,,0,0,0,0,0
56,19,90,932,0,0,1,0,0,0,0
56,19,90,1007,0,1,1,0,0,0,0
56,18,90,860,1,1,0,0,0,0,0
56,19,90,945,0,1,1,0,0,0,0
56,19,90,1034,0,1,1,0,0,0,0
56,18,90,1126,1,1,0,0,0,0,0
56,18,90,1137,1,1,0,0,0,0,0
56,19,90,918,0,1,0,0,0,0,0
56,18,90,1039,1,,1,0,0,0,0
56,19,90,1044,0,1,1,0,0,0,0
56,18,90,1077,1,,1,0,0,0,0
56,18,90,1290,1,0,1,0,0,0,0
56,19,90,1145,0,1,0,0,0,0,0
56,18,90,1126,1,1,1,0,0,0,0
56,19,90,1036,0,1,0,0,0,0,0
56,19,90,1022,0,1,0,0,0,0,0
56,19,90,869,0,1,0,0,0,0,1
56,19,90,1188,0,0,0,0,0,0,0
56,18,90,1328,1,1,1,0,0,0,0
56,18,90,1149,1,0,0,0,0,0,0
56,18,90,1158,1,1,0,0,0,0,0
56,18,90,1054,1,,0,0,0,0,1
56,19,90,1140,0,1,0,0,0,0,0
56,18,90,1032,1,0,0,0,0,0,0
56,18,90,1297,1,0,1,0,0,0,0
56,18,90,1198,1,1,0,0,0,0,1
56,18,90,1891,1,1,0,0,0,0,1
56,18,90,1223,1,,1,0,0,0,1
56,19,90,840,0,1,1,0,0,0,1
56,18,90,1160,1,0,1,0,0,0,0
56,19,90,930,0,,1,0,0,0,0
56,19,90,1029,0,,0,0,0,0,0
56,19,90,1416,0,,0,0,0,0,0
56,18,90,1109,1,1,0,0,0,0,1
56,19,90,886,0,,0,0,0,0,0
56,19,90,1236,0,,1,0,0,0,0
56,19,90,970,0,0,1,0,0,0,0
56,19,90,1052,0,1,1,0,0,0,0
56,19,90,951,0,0,1,0,0,0,1
56,18,90,1155,1,,0,0,0,0,0
56,19,90,1162,0,1,0,0,0,0,0
56,19,90,1369,0,1,1,0,0,0,0
56,18,90,929,1,,0,0,0,0,1
56,19,90,1281,0,0,0,0,0,0,0
56,19,90,1198,0,,1,0,0,0,1
56,19,90,1172,0,,1,0,0,0,0
56,18,90,966,1,1,1,0,0,0,0
56,18,90,1155,1,1,0,0,0,0,0
56,18,90,838,1,1,0,0,0,0,1
56,19,90,1173,0,0,1,0,0,0,0
56,18,90,1115,1,1,0,0,0,0,1
56,18,90,873,1,0,1,0,0,0,0
56,18,90,1188,1,1,0,0,0,0,0
56,18,90,1292,1,,0,0,0,0,0
56,18,90,1485,1,1,0,0,0,0,0
56,19,90,886,0,1,0,0,0,0,0
56,19,91,1200,0,1,0,0,0,0,0
56,18,91,1112,1,1,1,0,0,0,0
56,19,91,1681,0,,0,0,0,0,0
56,19,91,1241,0,,0,0,0,0,1
56,19,91,1078,0,,1,0,0,0,0
56,18,91,1321,1,1,1,0,0,0,0
56,19,91,1674,0,,0,0,0,0,0
56,19,91,1409,0,,0,0,0,0,0
56,18,91,1302,1,0,1,0,0,0,1
56,18,91,1045,1,1,0,0,0,0,1
56,18,91,1123,1,,0,0,0,0,0
56,19,91,1089,0,1,1,0,0,0,0
56,19,91,1018,0,,0,0,0,0,0
56,19,91,932,0,1,0,0,0,0,0
56,18,91,1260,1,1,0,0,0,0,0
56,19,91,1251,0,1,0,0,0,0,0
56,18,91,739,1,1,1,0,0,0,0
56,18,91,1010,1,1,0,0,0,0,0
56,18,91,1017,1,,0,0,0,0,1
56,19,91,1378,0,1,1,0,0,0,1
56,18,91,1089,1,1,0,0,0,0,0
56,19,91,882,0,1,0,0,0,0,0
56,18,91,1126,1,,1,0,0,0,0
56,19,91,1463,0,1,1,0,0,0,1
56,18,91,1297,1,1,1,0,0,0,1
56,19,91,911,0,,1,0,0,0,0
56,19,91,991,0,1,0,0,0,0,1
56,18,91,1282,1,1,1,0,0,0,0
56,19,91,1222,0,,0,0,0,0,0
56,18,91,1209,1,1,1,0,0,0,0
56,19,91,1267,0,,0,0,0,0,1
56,19,91,1377,0,,1,0,0,0,1
56,19,91,1045,0,1,0,0,0,0,1
56,19,91,1395,0,1,0,0,0,0,0
56,18,91,1200,1,0,1,0,0,0,0
56,19,91,1014,0,0,1,0,0,0,0
56,18,91,1101,1,1,0,0,0,0,0
56,18,91,899,1,1,0,0,0,0,0
56,18,91,1019,1,1,1,0,0,0,1
56,19,91,1238,0,1,0,0,0,0,0
56,18,91,1291,1,0,1,0,0,0,0
56,18,91,1152,1,0,0,0,0,0,0
56,18,91,1017,1,1,0,0,0,0,1
56,18,91,1448,1,1,0,0,0,0,1
56,19,91,1484,0,,0,0,0,0,1
56,19,91,1441,0,,0,0,0,0,0
56,19,91,1383,0,0,1,0,0,0,0
56,18,91,1039,1,1,1,0,0,0,1
56,19,91,1119,0,1,0,0,0,0,0
56,19,91,1200,0,1,0,0,0,0,0
56,19,91,1247,0,1,1,0,0,0,1
56,18,91,739,1,,0,0,0,0,0
56,19,91,870,0,,0,0,0,0,0
56,18,91,1187,1,,0,0,0,0,0
56,19,91,1230,0,0,0,0,0,0,0
56,18,91,994,1,,1,0,0,0,0
56,18,91,1286,1,,0,0,0,0,0
56,19,91,912,0,,1,0,0,0,0
56,18,91,1031,1,0,1,0,0,0,0
56,19,91,982,0,0,0,0,0,0,1
56,19,91,1328,0,0,1,0,0,0,1
56,18,91,1140,1,0,0,0,0,0,0
56,19,91,1377,0,,1,0,0,0,1
56,19,91,1222,0,,0,0,0,0,0
56,19,91,1430,0,0,1,0,0,0,0
56,19,91,1441,0,1,0,0,0,0,0
56,18,91,1301,1,1,1,0,0,0,1
