team,city,nickname,league,division,season,home_attend,runs_scored,runs_allowed,wins,losses,games_behind
ANA,Anaheim,Angels,AL,West,1997,1767330,829,794,84,78,6
ANA,Anaheim,Angels,AL,West,1998,2519107,787,783,85,77,3
ANA,Anaheim,Angels,AL,West,1999,2253123,711,826,70,92,25
ANA,Anaheim,Angels,AL,West,2000,2066977,864,869,82,80,9.5
ARI,Arizona,Diamondbacks,NL,West,1998,3600412,665,812,65,97,33
ARI,Arizona,Diamondbacks,NL,West,1999,3019654,908,676,100,62,0
ARI,Arizona,Diamondbacks,NL,West,2000,2942516,792,754,85,77,12
ATL,Atlanta,Braves,NL,West,1969,1458320,691,631,93,69,0
ATL,Atlanta,Braves,NL,West,1970,1078848,736,772,76,86,26
ATL,Atlanta,Braves,NL,West,1971,1006320,643,699,82,80,8
ATL,Atlanta,Braves,NL,West,1972,752973,628,730,70,84,25
ATL,Atlanta,Braves,NL,West,1973,800655,799,774,76,85,22.5
ATL,Atlanta,Braves,NL,West,1974,981085,661,563,88,74,14
ATL,Atlanta,Braves,NL,West,1975,534672,583,739,67,94,40.5
ATL,Atlanta,Braves,NL,West,1976,818179,620,700,70,92,32
ATL,Atlanta,Braves,NL,West,1977,872464,678,895,61,101,37
ATL,Atlanta,Braves,NL,West,1978,904494,600,750,69,93,26
ATL,Atlanta,Braves,NL,West,1979,769465,669,763,66,94,23.5
ATL,Atlanta,Braves,NL,West,1980,1048411,630,660,81,80,11
ATL,Atlanta,Braves,NL,West,1981,535418,395,416,50,56,15
ATL,Atlanta,Braves,NL,West,1982,1801985,739,702,89,73,0
ATL,Atlanta,Braves,NL,West,1983,2119935,746,640,88,74,3
ATL,Atlanta,Braves,NL,West,1984,1724892,632,655,80,82,12
ATL,Atlanta,Braves,NL,West,1985,1350137,632,781,66,96,29
ATL,Atlanta,Braves,NL,West,1986,1387181,615,719,72,89,23.5
ATL,Atlanta,Braves,NL,West,1987,1217402,747,829,69,92,20.5
ATL,Atlanta,Braves,NL,West,1988,848089,555,741,54,106,39.5
ATL,Atlanta,Braves,NL,West,1989,984930,584,680,63,97,28
ATL,Atlanta,Braves,NL,West,1990,980129,682,821,65,97,26
ATL,Atlanta,Braves,NL,West,1991,2140217,749,644,94,68,0
ATL,Atlanta,Braves,NL,West,1992,3077400,682,569,98,64,0
ATL,Atlanta,Braves,NL,West,1993,3884725,767,559,104,58,0
ATL,Atlanta,Braves,NL,East,1994,2539240,542,448,68,46,6
ATL,Atlanta,Braves,NL,East,1995,2561831,645,540,90,54,0
ATL,Atlanta,Braves,NL,East,1996,2901242,773,648,96,66,0
ATL,Atlanta,Braves,NL,East,1997,3464488,791,581,101,61,0
ATL,Atlanta,Braves,NL,East,1998,3361350,826,581,106,56,0
ATL,Atlanta,Braves,NL,East,1999,3284897,840,661,103,59,0
ATL,Atlanta,Braves,NL,East,2000,3234301,810,714,95,67,0
BAL,Baltimore,Orioles,AL,East,1969,1062069,779,517,109,53,0
BAL,Baltimore,Orioles,AL,East,1970,1057069,792,574,108,54,0
BAL,Baltimore,Orioles,AL,East,1971,1023037,742,530,101,57,0
BAL,Baltimore,Orioles,AL,East,1972,899950,519,430,80,74,5
BAL,Baltimore,Orioles,AL,East,1973,958667,754,561,97,65,0
BAL,Baltimore,Orioles,AL,East,1974,962572,659,612,91,71,0
BAL,Baltimore,Orioles,AL,East,1975,1002157,682,553,90,69,4.5
BAL,Baltimore,Orioles,AL,East,1976,1058609,619,598,88,74,10.5
BAL,Baltimore,Orioles,AL,East,1977,1195769,719,653,97,64,2.5
BAL,Baltimore,Orioles,AL,East,1978,1051724,659,633,90,71,9
BAL,Baltimore,Orioles,AL,East,1979,1681009,757,582,102,57,0
BAL,Baltimore,Orioles,AL,East,1980,1797438,805,640,100,62,3
BAL,Baltimore,Orioles,AL,East,1981,1024247,429,437,59,46,1
