year,state,state_numeric,urban_percent,cell_per10thous_pop,cell_ban,text_ban,DeathsPerBillionMiles
2007,Alabama,1,30,8135.525391,0,0,18.07523155
2007,Alaska,2,55,6730.282227,0,0,16.3011837
2007,Arizona,3,45,7572.464844,0,0,16.93057823
2007,Arkansas,4,21,8071.124512,0,0,19.59543037
2007,California,5,54,8821.932617,0,0,12.1043396
2007,Colorado,6,34,8162.064941,0,0,11.37273407
2007,Connecticut,7,84,8234.567383,1,1,8.641937256
2007,Delaware,8,31,8684.450195,0,0,12.33786774
2007,District of Columbia,9,100,15910.46582,1,1,12.1917429
2007,Florida,10,53,8550.102539,0,0,15.59278297
2007,Georgia,11,39,8319.756836,0,0,14.58135223
2007,Hawaii,12,45,8539.895508,0,0,13.33977795
2007,Idaho,13,11,7242.887695,0,0,15.96755791
2007,Illinois,14,56,8037.316895,0,0,11.62044239
2007,Indiana,15,38,7367.670898,0,0,12.56330585
2007,Iowa,16,17,7248.884277,0,0,14.23863316
2007,Kansas,17,17,8144.821289,0,0,13.8445158
2007,Kentucky,18,19,7759.095215,0,0,17.9764061
2007,Louisiana,19,42,8769.673828,0,0,21.70750999
2007,Maine,20,8,7143.903809,0,0,12.17159939
2007,Maryland,21,54,8942.136719,0,0,10.86667919
2007,Massachusetts,22,91,8480.942383,0,0,7.572043419
2007,Michigan,23,35,7553.747559,0,0,10.4001379
2007,Minnesota,24,8,7788.178711,0,0,8.806108475
2007,Mississippi,25,26,7523.678711,0,0,20.39827347
2007,Missouri,26,26,7951.123047,0,0,14.34541798
2007,Montana,27,4,7245.310059,0,0,24.49809837
2007,Nebraska,28,18,7815.973633,0,0,13.16940212
2007,Nevada,29,57,8447.084961,0,0,16.84277153
2007,New Hampshire,30,15,7766.972656,1,0,9.584664345
2007,New Jersey,31,80,8811.961914,1,0,9.507301331
2007,New Mexico,32,18,7558.70166,0,0,15.38175011
2007,New York,33,40,8495.818359,1,0,9.748641968
2007,North Carolina,34,23,8063.099121,0,0,16.1682663
2007,North Dakota,35,5,8019.196289,0,0,14.15094376
2007,Ohio,36,33,7935.000977,0,0,11.36209583
2007,Oklahoma,37,24,7527.680664,0,0,15.84965992
2007,Oregon,38,17,7799.960449,0,0,13.09352493
2007,Pennsylvania,39,45,7733.580566,0,0,13.7167778
2007,Rhode Island,40,34,8016.395996,0,0,7.98980999
2007,South Carolina,41,9,7940.633301,0,0,20.85738373
2007,South Dakota,42,13,7485.424805,0,0,16.21321487
2007,Tennessee,43,39,8520.772461,0,0,16.99939537
2007,Texas,44,37,8231.545898,0,0,13.81432247
2007,Utah,45,29,7450.866211,0,0,11.14341068
2007,Vermont,46,2,6470.783203,0,0,8.578112602
2007,Virginia,47,35,8319.404297,0,0,12.51264095
2007,Washington,48,32,8181.281738,0,0,9.975587845
2007,West Virginia,49,15,6473.384766,0,0,20.95895767
2007,Wisconsin,50,30,6858.705566,0,0,12.70737743
2007,Wyoming,51,14,8434.864258,0,0,16.01537514
2008,Alabama,1,31,8494.390625,0,0,16.28922653
2008,Alaska,2,21,5580.706543,0,0,12.74409008
2008,Arizona,3,43,7665.941406,0,0,15.20412827
2008,Arkansas,4,22,8860.435547,0,0,18.092453
2008,California,5,53,8754.058594,0,0,10.49235249
2008,Colorado,6,37,8727.681641,0,0,11.45006275
2008,Connecticut,7,79,8654.046875,1,1,8.318367004
2008,Delaware,8,27,8910.859375,0,0,13.48039246
2008,District of Columbia,9,100,18518.73828,1,1,9.41567421
2008,Florida,10,52,8815.855469,0,0,14.99375725
2008,Georgia,11,42,8592.008789,0,0,13.69008827
2008,Hawaii,12,33,9191.133789,0,0,10.4105854
2008,Idaho,13,16,7658.404785,0,0,15.2121172
2008,Illinois,14,53,8463.31543,0,0,9.832294464
2008,Indiana,15,36,7771.933105,0,0,11.46915054
2008,Iowa,16,14,7723.422363,0,0,13.4145155
2008,Kansas,17,20,8639.84375,0,0,12.95118904
2008,Kentucky,18,18,8069.342285,0,0,17.37703514
2008,Louisiana,19,41,9095.864258,0,0,20.22576523
2008,Maine,20,7,7687.306152,0,0,10.6463356
2008,Maryland,21,56,9290.689453,0,0,10.74096298
2008,Massachusetts,22,90,8847.382813,0,0,6.659939289
2008,Michigan,23,36,8024.253906,0,0,9.624355316
2008,Minnesota,24,27,8323.12793,0,0,7.862746716
2008,Mississippi,25,18,7867.644043,0,0,17.91311073
2008,Missouri,26,33,8356.444336,0,0,14.06119537
2008,Montana,27,7,7731.745605,0,0,21.18017006
2008,Nebraska,28,9,8388.321289,0,0,10.85028648
2008,Nevada,29,50,8722.516602,0,0,15.59191513
2008,New Hampshire,30,4,8207.87793,1,0,10.65950966
2008,New Jersey,31,85,9222.978516,1,1,8.013147354
2008,New Mexico,32,20,7740.546387,0,0,13.92747021
2008,New York,33,40,8569.392578,1,0,9.180743217
2008,North Carolina,34,27,8700.541992,0,0,14.08879948
2008,North Dakota,35,9,9057.166016,0,0,13.29923248
2008,Ohio,36,33,8327.594727,0,0,10.98779297
2008,Oklahoma,37,28,7931.668457,0,0,15.44361782
2008,Oregon,38,22,8137.074219,0,0,12.42978382
2008,Pennsylvania,39,39,8205.150391,0,0,13.61174965
2008,Rhode Island,40,64,8450.800781,0,0,7.939415932
2008,South Carolina,41,4,7417.741699,0,0,18.54950905
2008,South Dakota,42,7,7846.365234,0,0,13.24282169
2008,Tennessee,43,38,8878.679688,0,0,14.89873219
2008,Texas,44,39,8635.681641,0,0,14.36813354
2008,Utah,45,28,7655.977051,0,0,10.58751106
2008,Vermont,46,17,7001.786621,0,0,9.983588219
2008,Virginia,47,35,8824.71582,0,0,10.01482773
2008,Washington,48,38,8587.277344,0,1,9.377587318
2008,West Virginia,49,28,7137.078125,0,0,18.29209518
2008,Wisconsin,50,29,7578.225098,0,0,10.52869701
2008,Wyoming,51,12,9086.334961,0,0,16.83073997
2009,Alabama,1,31,8979.108398,0,0,13.83367825
2009,Alaska,2,42,8389.730469,0,1,12.9738493
2009,Arizona,3,43,7733.735352,0,0,13.094697
2009,Arkansas,4,18,8717.921875,0,0,17.64480209
2009,California,5,50,8911.395508,1,1,9.495017052
2009,Colorado,6,36,8961.643555,0,0,10.05832767
2009,Connecticut,7,82,8876.476563,1,1,7.097390175
2009,Delaware,8,35,9072.195313,0,0,12.77533054
2009,District of Columbia,9,100,19727.94531,1,1,8.037693977
2009,Florida,10,50,9032.273438,0,0,13.02580833
2009,Georgia,11,43,9017,0,0,11.75199986
2009,Hawaii,12,58,9388.670898,0,0,10.92951012
2009,Idaho,13,15,7898.817383,0,0,14.55154228
2009,Illinois,14,53,8925.356445,0,0,8.606843948
2009,Indiana,15,40,8103.547363,0,0,9.043691635
2009,Iowa,16,16,8085.493652,0,0,11.97489166
2009,Kansas,17,11,8748.568359,0,0,13.08619404
2009,Kentucky,18,16,8416.5625,0,0,16.70362091
2009,Louisiana,19,39,8888.986328,0,1,18.30015755
2009,Maine,20,6,8078.580078,0,0,10.97232723
2009,Maryland,21,57,9339.452148,0,0,9.892753601
2009,Massachusetts,22,90,9359.09375,0,0,6.093555927
2009,Michigan,23,49,8602.041016,0,0,9.000816345
2009,Minnesota,24,30,8429.205078,0,1,7.401739597
2009,Mississippi,25,26,7943.777832,0,0,17.31516075
2009,Missouri,26,32,8566.06543,0,0,12.72408485
2009,Montana,27,4,8225.733398,0,0,20.07083893
2009,Nebraska,28,13,8432.505859,0,0,11.51918983
2009,Nevada,29,43,9053.814453,0,0,11.88031673
2009,New Hampshire,30,0,8493.290039,1,0,8.477560043
2009,New Jersey,31,84,9368.677734,1,1,7.983129978
2009,New Mexico,32,21,8080.924805,0,0,13.87767696
2009,New York,33,37,9662.536133,1,0,8.659759521
2009,North Carolina,34,23,8643.108398,0,0,12.80826664
2009,North Dakota,35,2,9554.081055,0,0,17.169487
2009,Ohio,36,30,8714.640625,0,0,9.232191086
2009,Oklahoma,37,27,8345.424805,0,0,15.70313358
2009,Oregon,38,14,8456.063477,0,0,11.09737396
2009,Pennsylvania,39,44,8621.341797,0,0,12.1698637
2009,Rhode Island,40,61,8478.848633,0,0,10.060606
2009,South Carolina,41,1,8541.533203,0,0,18.19662094
2009,South Dakota,42,6,8382.745117,0,0,14.82242203
2009,Tennessee,43,38,9392.886719,0,0,14.08310318
2009,Texas,44,40,8816.37207,0,0,13.35309124
2009,Utah,45,31,7778.574219,0,1,9.290283203
2009,Vermont,46,7,7446.603027,0,0,9.678262711
2009,Virginia,47,38,9197.484375,0,0,9.35410881
2009,Washington,48,26,8727.235352,1,1,8.720775604
2009,West Virginia,49,26,7698.745605,0,0,18.15770721
2009,Wisconsin,50,30,8039.225098,0,0,9.646302223
2009,Wyoming,51,11,9498.961914,0,0,14.00501633
2010,Alabama,1,35,9054.893555,0,0,13.43408394
2010,Alaska,2,42,8560.594727,0,1,11.67089272
2010,Arizona,3,45,8268.125977,0,0,12.70102501
2010,Arkansas,4,19,9166.924805,0,1,16.80375099
2010,California,5,47,9083.331055,1,1,8.409493446
2010,Colorado,6,37,9319.581055,0,1,9.544113159
2010,Connecticut,7,78,9037.248047,1,1,10.19351196
2010,Delaware,8,22,9477.311523,0,0,11.28785324
2010,District of Columbia,9,100,20757.05859,1,1,6.683712959
2010,Florida,10,53,9175.424805,0,0,12.49012089
2010,Georgia,11,42,9355.207031,0,0,11.13473415
2010,Hawaii,12,49,9203.845703,0,0,11.30604935
2010,Idaho,13,18,8146.304199,0,0,13.22683811
2010,Illinois,14,54,9397.042969,0,1,8.762821198
2010,Indiana,15,37,8343.870117,0,0,9.952414513
2010,Iowa,16,19,8094.919922,0,0,12.4248867
2010,Kansas,17,16,8972.639648,0,0,14.41488075
2010,Kentucky,18,24,8586.505859,0,0,15.83110905
2010,Louisiana,19,40,9573.448242,0,1,15.62545013
2010,Maine,20,1,8461.555664,0,0,11.06576157
2010,Maryland,21,58,9630.120117,0,1,8.783883095
2010,Massachusetts,22,87,9646.240234,0,0,5.776094913
2010,Michigan,23,51,8965.320313,0,0,9.654868126
2010,Minnesota,24,26,8868.90332,0,1,7.257422924
2010,Mississippi,25,18,8222.97168,0,0,16.08894157
2010,Missouri,26,38,8864.693359,0,0,11.55735016
2010,Montana,27,3,8550.506836,0,0,16.89037323
2010,Nebraska,28,15,8339.078125,0,0,9.774692535
2010,Nevada,29,49,9083.331055,0,0,11.57583618
2010,New Hampshire,30,36,8887.40332,1,1,9.797002792
2010,New Jersey,31,83,9782.875,1,1,7.613553524
2010,New Mexico,32,16,8202.297852,0,0,13.69013214
2010,New York,33,42,10064.96875,1,1,9.142713547
2010,North Carolina,34,23,8941.34082,0,1,12.88275051
2010,North Dakota,35,10,9262.6875,0,0,12.70838928
