congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,141,0.9787234042553191,0.95556332,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,46,1,0.97459258,63
0,house,A000367,Amash,MI,3,Independent,140,0.6214285714285714,0.77280357,9.4
115,house,A000367,Amash,MI,3,R,96,0.5416666666666666,0.84738551,9.4
116,house,A000367,Amash,MI,3,I,44,0.7954545454545454,0.61007935,9.4
0,house,A000369,Amodei,NV,2,Republican,140,0.9785714285714285,0.82365651,12.3
115,house,A000369,Amodei,NV,2,R,94,0.9893617021276596,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,46,0.9565217391304348,0.71561729,12.3
0,house,A000370,Adams,NC,12,Democrat,138,0.12318840579710146,0.14656102,-40
115,house,A000370,Adams,NC,12,D,92,0.17391304347826086,0.20378724,-40
116,house,A000370,Adams,NC,12,D,46,0.021739130434782608,0.03210859,-40
0,house,A000371,Aguilar,CA,31,Democrat,141,0.19858156028368795,0.22463706,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.2765957446808511,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,47,0.0425531914893617,0.04617592,-21.1
0,house,A000372,Allen,GA,12,Republican,142,0.9647887323943662,0.87945329,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,47,0.9574468085106383,0.82622112,16.2
0,house,A000374,Abraham,LA,5,Republican,118,0.9322033898305084,0.94110439,29.4
115,house,A000374,Abraham,LA,5,R,96,0.9270833333333334,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,22,0.9545454545454546,0.92044209,29.4
0,house,A000375,Arrington,TX,19,Republican,141,0.9645390070921985,0.95644453,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,46,0.9565217391304348,0.97055913,49
0,house,A000376,Allred,TX,32,Democrat,46,0.043478260869565216,0.18385711,-1.9
116,house,A000376,Allred,TX,32,D,46,0.043478260869565216,0.18385711,-1.9
0,house,A000377,Armstrong,ND,0,Republican,46,0.9347826086956522,0.96006548,35.72888837
116,house,A000377,Armstrong,ND,0,R,46,0.9347826086956522,0.96006548,35.72888837
0,house,A000378,Axne,IA,3,Democrat,47,0.0425531914893617,0.35201827,3.5
116,house,A000378,Axne,IA,3,D,47,0.0425531914893617,0.35201827,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.9239130434782609,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.9239130434782609,0.87643124,12.3
0,house,B000287,Becerra,CA,34,Democrat,1,0,1.4e-7,-72.9
115,house,B000287,Becerra,CA,34,D,1,0,1.4e-7,-72.9
0,house,B000490,Bishop,GA,2,Democrat,140,0.3142857142857143,0.32391501,-11.7
115,house,B000490,Bishop,GA,2,D,93,0.45161290322580644,0.45128279,-11.7
116,house,B000490,Bishop,GA,2,D,47,0.0425531914893617,0.07188942,-11.7
0,house,B000574,Blumenauer,OR,3,Democrat,137,0.12408759124087591,0.13690547,-48.2
115,house,B000574,Blumenauer,OR,3,D,91,0.17582417582417584,0.19149721,-48.2
116,house,B000574,Blumenauer,OR,3,D,46,0.021739130434782608,0.02890877,-48.2
0,house,B000755,Brady,TX,8,Republican,142,0.9929577464788732,0.95688332,48.8
115,house,B000755,Brady,TX,8,R,96,0.9895833333333334,0.95016617,48.8
116,house,B000755,Brady,TX,8,R,46,1,0.97090172,48.8
0,house,B001227,Brady,PA,1,Democrat,93,0.17204301075268819,0.16459382,-61.3
115,house,B001227,Brady,PA,1,D,93,0.17204301075268819,0.16459382,-61.3
115,house,B001243,Blackburn,TN,7,R,87,0.9195402298850575,0.94563949,39.3
0,house,B001248,Burgess,TX,26,Republican,140,0.9571428571428572,0.93955586,26.5
115,house,B001248,Burgess,TX,26,R,94,0.9574468085106383,0.94107564,26.5
116,house,B001248,Burgess,TX,26,R,46,0.9565217391304348,0.93645023,26.5
0,house,B001250,Bishop,UT,1,Republican,138,0.9637681159420289,0.94206485,27.3
115,house,B001250,Bishop,UT,1,R,93,0.956989247311828,0.94214025,27.3
116,house,B001250,Bishop,UT,1,R,45,0.9777777777777777,0.94190902,27.3
0,house,B001251,Butterfield,NC,1,Democrat,141,0.14893617021276595,0.15473533,-37
115,house,B001251,Butterfield,NC,1,D,94,0.2127659574468085,0.21569132,-37
116,house,B001251,Butterfield,NC,1,D,47,0.02127659574468085,0.03282335,-37
0,house,B001257,Bilirakis,FL,12,Republican,142,0.9647887323943662,0.90470002,18.6
115,house,B001257,Bilirakis,FL,12,R,95,0.9789473684210527,0.92184181,18.6
116,house,B001257,Bilirakis,FL,12,R,47,0.9361702127659575,0.87005171,18.6
0,house,B001260,Buchanan,FL,16,Republican,137,0.9343065693430657,0.79123033,10.7
115,house,B001260,Buchanan,FL,16,R,90,0.9666666666666667,0.86069026,10.7
116,house,B001260,Buchanan,FL,16,R,47,0.8723404255319149,0.65822195,10.7
0,house,B001269,Barletta,PA,11,Republican,92,0.9782608695652174,0.93672465,23.8
115,house,B001269,Barletta,PA,11,R,92,0.9782608695652174,0.93672465,23.8
0,house,B001270,Bass,CA,37,Democrat,131,0.0916030534351145,0.10164823,-76.1
115,house,B001270,Bass,CA,37,D,87,0.12643678160919541,0.14088039,-76.1
116,house,B001270,Bass,CA,37,D,44,0.022727272727272728,0.02407555,-76.1
0,house,B001273,Black,TN,6,Republican,78,0.9358974358974359,0.95902609,48.9
115,house,B001273,Black,TN,6,R,78,0.9358974358974359,0.95902609,48.9
0,house,B001274,Brooks,AL,5,Republican,139,0.8776978417266187,0.95061297,33.4
115,house,B001274,Brooks,AL,5,R,92,0.8369565217391305,0.94722233,33.4
116,house,B001274,Brooks,AL,5,R,47,0.9574468085106383,0.95724996,33.4
0,house,B001275,Bucshon,IN,8,Republican,139,0.9784172661870504,0.95054363,33.7
115,house,B001275,Bucshon,IN,8,R,96,0.9895833333333334,0.94905825,33.7
116,house,B001275,Bucshon,IN,8,R,43,0.9534883720930233,0.95385982,33.7
0,house,B001278,Bonamici,OR,1,Democrat,142,0.14084507042253522,0.21154355,-22.8
115,house,B001278,Bonamici,OR,1,D,95,0.2,0.29451476,-22.8
116,house,B001278,Bonamici,OR,1,D,47,0.02127659574468085,0.0438358,-22.8
0,house,B001281,Beatty,OH,3,Democrat,137,0.1386861313868613,0.14941215,-38.4
115,house,B001281,Beatty,OH,3,D,92,0.1956521739130435,0.2060699,-38.4
116,house,B001281,Beatty,OH,3,D,45,0.022222222222222223,0.03357852,-38.4
0,house,B001282,Barr,KY,6,Republican,143,0.965034965034965,0.86964158,15.3
115,house,B001282,Barr,KY,6,R,96,0.96875,0.90105912,15.3
116,house,B001282,Barr,KY,6,R,47,0.9574468085106383,0.80546959,15.3
0,house,B001283,Bridenstine,OK,1,Republican,52,0.9423076923076923,0.95711151,28.7
115,house,B001283,Bridenstine,OK,1,R,52,0.9423076923076923,0.95711151,28.7
0,house,B001284,Brooks,IN,5,Republican,142,0.9788732394366197,0.8187132,11.8
115,house,B001284,Brooks,IN,5,R,96,0.9895833333333334,0.87293384,11.8
116,house,B001284,Brooks,IN,5,R,46,0.9565217391304348,0.70555709,11.8
0,house,B001285,Brownley,CA,26,Democrat,139,0.2302158273381295,0.21401681,-21.9
115,house,B001285,Brownley,CA,26,D,92,0.32608695652173914,0.30034879,-21.9
116,house,B001285,Brownley,CA,26,D,47,0.0425531914893617,0.04502655,-21.9
0,house,B001286,Bustos,IL,17,Democrat,142,0.2605633802816901,0.55577227,0.7
115,house,B001286,Bustos,IL,17,D,95,0.3684210526315789,0.70528738,0.7
116,house,B001286,Bustos,IL,17,D,47,0.0425531914893617,0.25356088,0.7
0,house,B001287,Bera,CA,7,Democrat,143,0.2727272727272727,0.33085314,-11.4
115,house,B001287,Bera,CA,7,D,96,0.3854166666666667,0.45691205,-11.4
116,house,B001287,Bera,CA,7,D,47,0.0425531914893617,0.07337109,-11.4
0,house,B001289,Byrne,AL,1,Republican,142,0.9647887323943662,0.94620494,29.4
115,house,B001289,Byrne,AL,1,R,96,0.9583333333333334,0.9458395,29.4
116,house,B001289,Byrne,AL,1,R,46,0.9782608695652174,0.9469676,29.4
0,house,B001290,Brat,VA,7,Republican,95,0.8842105263157894,0.80768775,6.5
115,house,B001290,Brat,VA,7,R,95,0.8842105263157894,0.80768775,6.5
0,house,B001291,Babin,TX,36,Republican,139,0.9568345323741008,0.95727513,46.8
115,house,B001291,Babin,TX,36,R,94,0.9468085106382979,0.95172585,46.8
116,house,B001291,Babin,TX,36,R,45,0.9777777777777777,0.96886697,46.8
0,house,B001292,Beyer,VA,8,Democrat,138,0.14492753623188406,0.12069162,-52.6
115,house,B001292,Beyer,VA,8,D,91,0.1978021978021978,0.16911584,-52.6
116,house,B001292,Beyer,VA,8,D,47,0.0425531914893617,0.02693408,-52.6
0,house,B001293,Bishop,MI,8,Republican,95,0.9789473684210527,0.81057761,6.7
115,house,B001293,Bishop,MI,8,R,95,0.9789473684210527,0.81057761,6.7
0,house,B001294,Blum,IA,1,Republican,93,0.9247311827956989,0.76057766,3.5
115,house,B001294,Blum,IA,1,R,93,0.9247311827956989,0.76057766,3.5
0,house,B001295,Bost,IL,12,Republican,142,0.9788732394366197,0.86270398,14.8
115,house,B001295,Bost,IL,12,R,95,0.9894736842105263,0.89727638,14.8
116,house,B001295,Bost,IL,12,R,47,0.9574468085106383,0.7928236,14.8
0,house,B001296,Boyle,PA,2,Democrat,141,0.14184397163120568,0.16187524,-48
115,house,B001296,Boyle,PA,13,D,94,0.20212765957446807,0.22863067,-33.6
116,house,B001296,Boyle,PA,2,D,47,0.02127659574468085,0.02836439,-48
0,house,B001297,Buck,CO,4,Republican,139,0.8705035971223022,0.92904535,23.1
115,house,B001297,Buck,CO,4,R,94,0.851063829787234,0.93541675,23.1
116,house,B001297,Buck,CO,4,R,45,0.9111111111111111,0.91573621,23.1
0,house,B001298,Bacon,NE,2,Republican,143,0.958041958041958,0.59438746,2.2
115,house,B001298,Bacon,NE,2,R,96,0.9791666666666666,0.73689927,2.2
116,house,B001298,Bacon,NE,2,R,47,0.9148936170212766,0.30329951,2.2
0,house,B001299,Banks,IN,3,Republican,143,0.951048951048951,0.95299665,35
115,house,B001299,Banks,IN,3,R,96,0.9479166666666666,0.94963284,35
116,house,B001299,Banks,IN,3,R,47,0.9574468085106383,0.95986741,35
0,house,B001300,Barragán,CA,44,Democrat,141,0.12056737588652482,0.10854149,-70.7
115,house,B001300,Barragán,CA,44,D,94,0.1702127659574468,0.15122911,-70.7
116,house,B001300,Barragán,CA,44,D,47,0.02127659574468085,0.02316625,-70.7
0,house,B001301,Bergman,MI,1,Republican,140,0.9642857142857143,0.9217791,21.3
115,house,B001301,Bergman,MI,1,R,95,0.968421052631579,0.92923049,21.3
116,house,B001301,Bergman,MI,1,R,45,0.9555555555555556,0.9060484,21.3
0,house,B001302,Biggs,AZ,5,Republican,142,0.795774647887324,0.91955486,21.1
